Prompt,Human score,GPT4 response
"You will be given a conversation between two individuals. You will then be given one potential response for the next turn in the conversation. The response concerns an interesting fact, which will be provided as well.
Your task is to rate the responses on one metric. Please make sure you read and understand these instructions carefully. Please keep this document open while reviewing, and refer to it as needed.
Evaluation Crieteria:
Coherence:(1-5) Is the response coherent with the context?
A score of 1 response is completely inappropriate for context. 
A score of 2 means The response still does not match the context, but at least there are some related or similar topics.
A score of 3 means The response to some extent corresponds to the context, but the entire conversation appears to be fluid.
A score of 4 means the response is coherent with the context while not that perfect.
A score of 5 means the response is completely coherent with the context.
Evaluation Steps:
1. Read the Conversation, the Golden Response and the Response carefully.
2. Rate the Response on a scale of 1-5 for coherence, according to the criteria above.
Provide a brief explanation for your rating, referring to specific aspects of the response and the conversation.
Example:\nConversation History:\nSpeaker A:yes , that's my only day off until Thursday .\nSpeaker B:ok , well , my friends and I are planning on going to the beach on Sunday . We tend to leave around noon whenever we go anywhere , so you could still sleep in . Do you want to come with us ?\nGolden Response (for reference):\nthat'd be fantastic ! Which beach are you going to ?\nResponse (to be evaluated):\nOk , well , my friends and I are planning on going to the beach on Sunday . We tend to leave around noon whenever we go anywhere , so you could still sleep in . Do you want to come with us ?\n\nEvaluation Form (scores ONLY):\n- Coherence:",3,"1 Explanation: The given response is not coherent with the conversation history at all. It seems like the evaluated response is just a repetition of Speaker B's last message. It is not giving any answer to the question Speaker B asked, nor is continuing the conversation."
"You will be given a conversation between two individuals. You will then be given one potential response for the next turn in the conversation. The response concerns an interesting fact, which will be provided as well.
Your task is to rate the responses on one metric. Please make sure you read and understand these instructions carefully. Please keep this document open while reviewing, and refer to it as needed.
Evaluation Crieteria:
Coherence:(1-5) Is the response coherent with the context?
A score of 1 response is completely inappropriate for context. 
A score of 2 means The response still does not match the context, but at least there are some related or similar topics.
A score of 3 means The response to some extent corresponds to the context, but the entire conversation appears to be fluid.
A score of 4 means the response is coherent with the context while not that perfect.
A score of 5 means the response is completely coherent with the context.
Evaluation Steps:
1. Read the Conversation, the Golden Response and the Response carefully.
2. Rate the Response on a scale of 1-5 for coherence, according to the criteria above.
Provide a brief explanation for your rating, referring to specific aspects of the response and the conversation.
Example:\nConversation History:\nSpeaker A:Hello , 332440 .\nSpeaker B:Oh hello , Sally . This is Dave Thomson here . Could I speak to Jim please ?\nGolden Response (for reference):\nI'm afraid he's not in at the moment Dave . He went out about an hour ago and he's not back yet .\nResponse (to be evaluated):\nYes . He's in the line-up .\n\nEvaluation Form (scores ONLY):\n- Coherence:",4.1,"1 The response does not fit the context of the conversation. The speaker asked to speak with Jim, and the response provided does not directly answer the speaker's request. ""He's in the line-up"" does not imply whether Jim is available to speak or not."
"You will be given a conversation between two individuals. You will then be given one potential response for the next turn in the conversation. The response concerns an interesting fact, which will be provided as well.
Your task is to rate the responses on one metric. Please make sure you read and understand these instructions carefully. Please keep this document open while reviewing, and refer to it as needed.
Evaluation Crieteria:
Coherence:(1-5) Is the response coherent with the context?
A score of 1 response is completely inappropriate for context. 
A score of 2 means The response still does not match the context, but at least there are some related or similar topics.
A score of 3 means The response to some extent corresponds to the context, but the entire conversation appears to be fluid.
A score of 4 means the response is coherent with the context while not that perfect.
A score of 5 means the response is completely coherent with the context.
Evaluation Steps:
1. Read the Conversation, the Golden Response and the Response carefully.
2. Rate the Response on a scale of 1-5 for coherence, according to the criteria above.
Provide a brief explanation for your rating, referring to specific aspects of the response and the conversation.
Example:\nConversation History:\nSpeaker A:If only our company prescribe flex time .\nSpeaker B:The board has been considering introducing flex time .\nGolden Response (for reference):\nGood news . Ah , what if be even better if alternative work place is provided .\nResponse (to be evaluated):\nI'm wondering if you often trade with others on the internet .\n\nEvaluation Form (scores ONLY):\n- Coherence:",2.9,1 The response is not related to the context of conversation which is about introducing flex time at work. The response is about trading on the internet which is off topic with the conversation.
"You will be given a conversation between two individuals. You will then be given one potential response for the next turn in the conversation. The response concerns an interesting fact, which will be provided as well.
Your task is to rate the responses on one metric. Please make sure you read and understand these instructions carefully. Please keep this document open while reviewing, and refer to it as needed.
Evaluation Crieteria:
Coherence:(1-5) Is the response coherent with the context?
A score of 1 response is completely inappropriate for context. 
A score of 2 means The response still does not match the context, but at least there are some related or similar topics.
A score of 3 means The response to some extent corresponds to the context, but the entire conversation appears to be fluid.
A score of 4 means the response is coherent with the context while not that perfect.
A score of 5 means the response is completely coherent with the context.
Evaluation Steps:
1. Read the Conversation, the Golden Response and the Response carefully.
2. Rate the Response on a scale of 1-5 for coherence, according to the criteria above.
Provide a brief explanation for your rating, referring to specific aspects of the response and the conversation.
Example:\nConversation History:\nSpeaker A:Thank you so much . Does he read his e-mails daily ?\nSpeaker B:Yes . He usually replies immediately .\nGolden Response (for reference):\nGreat . Thanks again . You've been very helpful .\nResponse (to be evaluated):\nHe is afraid of his father-in-law .\n\nEvaluation Form (scores ONLY):\n- Coherence:",2.5,"1 The response is not coherent with the conversation at all. The provided response talks about the person being afraid of his father-in-law, which is completely irrelevant to the question asked by Speaker A about reading and responding to emails."
"You will be given a conversation between two individuals. You will then be given one potential response for the next turn in the conversation. The response concerns an interesting fact, which will be provided as well.
Your task is to rate the responses on one metric. Please make sure you read and understand these instructions carefully. Please keep this document open while reviewing, and refer to it as needed.
Evaluation Crieteria:
Coherence:(1-5) Is the response coherent with the context?
A score of 1 response is completely inappropriate for context. 
A score of 2 means The response still does not match the context, but at least there are some related or similar topics.
A score of 3 means The response to some extent corresponds to the context, but the entire conversation appears to be fluid.
A score of 4 means the response is coherent with the context while not that perfect.
A score of 5 means the response is completely coherent with the context.
Evaluation Steps:
1. Read the Conversation, the Golden Response and the Response carefully.
2. Rate the Response on a scale of 1-5 for coherence, according to the criteria above.
Provide a brief explanation for your rating, referring to specific aspects of the response and the conversation.
Example:\nConversation History:\nSpeaker A:I'll take a little milk , but no sugar , please . Make sure you let the tea steep a few minutes before you take the tea bag out of the cup .\nSpeaker B:Ok . What do you think about our living room ?\nGolden Response (for reference):\nWell , I do like the mantelpiece and the coffee table , but I don't really care for curtains . Did you get them at a yard sale ? They look ancient .\nResponse (to be evaluated):\nIt doesn't seem like that . Sorry , sir , we've tried everything , but we're not able to get it off the shirt . It was from the sugar I think .\n\nEvaluation Form (scores ONLY):\n- Coherence:",2.8,"1 Explanation: The response provided is not aligned with the previous conversation topic. The conversation was about making tea and the aesthetics of a living room, whereas the response is about removing a stain from a shirt. The context was not followed."
"You will be given a conversation between two individuals. You will then be given one potential response for the next turn in the conversation. The response concerns an interesting fact, which will be provided as well.
Your task is to rate the responses on one metric. Please make sure you read and understand these instructions carefully. Please keep this document open while reviewing, and refer to it as needed.
Evaluation Crieteria:
Coherence:(1-5) Is the response coherent with the context?
A score of 1 response is completely inappropriate for context. 
A score of 2 means The response still does not match the context, but at least there are some related or similar topics.
A score of 3 means The response to some extent corresponds to the context, but the entire conversation appears to be fluid.
A score of 4 means the response is coherent with the context while not that perfect.
A score of 5 means the response is completely coherent with the context.
Evaluation Steps:
1. Read the Conversation, the Golden Response and the Response carefully.
2. Rate the Response on a scale of 1-5 for coherence, according to the criteria above.
Provide a brief explanation for your rating, referring to specific aspects of the response and the conversation.
Example:\nConversation History:\nSpeaker A:I want to take a look at that home with the Open House flags out front .\nSpeaker B:What a wonderful neighborhood ! Can you find that house on our Open House list ?\nGolden Response (for reference):\nYes , that is one of the houses that we have on our list .\nResponse (to be evaluated):\nYes , it looks perfect .\n\nEvaluation Form (scores ONLY):\n- Coherence:",4,"3

Explanation: The response ""Yes , it looks perfect"" to some extent corresponds to the context but doesn't completely align with the conversation. Speaker B was asked if they could find a specific house on an Open House list. The response does not indicate whether or not they found the house on the list. However, it does show a positive regard towards the house which goes with the flow of the conversation."
"You will be given a conversation between two individuals. You will then be given one potential response for the next turn in the conversation. The response concerns an interesting fact, which will be provided as well.
Your task is to rate the responses on one metric. Please make sure you read and understand these instructions carefully. Please keep this document open while reviewing, and refer to it as needed.
Evaluation Crieteria:
Coherence:(1-5) Is the response coherent with the context?
A score of 1 response is completely inappropriate for context. 
A score of 2 means The response still does not match the context, but at least there are some related or similar topics.
A score of 3 means The response to some extent corresponds to the context, but the entire conversation appears to be fluid.
A score of 4 means the response is coherent with the context while not that perfect.
A score of 5 means the response is completely coherent with the context.
Evaluation Steps:
1. Read the Conversation, the Golden Response and the Response carefully.
2. Rate the Response on a scale of 1-5 for coherence, according to the criteria above.
Provide a brief explanation for your rating, referring to specific aspects of the response and the conversation.
Example:\nConversation History:\nSpeaker A:Take it easy . We are going to have our own baby . You should be happy .\nSpeaker B:Yeah , I know .\nGolden Response (for reference):\nThe doctors and the nurses will help you . And I will be waiting for you right here , praying for you and our baby .\nResponse (to be evaluated):\nI know , mom .\n\nEvaluation Form (scores ONLY):\n- Coherence:",2.3,"3 The response is somewhat adaptable to the context and could potentially fit in the conversation, but it doesn't continue the flow of the conversation well. The use of ""mom"" implies a close relationship, which was not established earlier."
"You will be given a conversation between two individuals. You will then be given one potential response for the next turn in the conversation. The response concerns an interesting fact, which will be provided as well.
Your task is to rate the responses on one metric. Please make sure you read and understand these instructions carefully. Please keep this document open while reviewing, and refer to it as needed.
Evaluation Crieteria:
Coherence:(1-5) Is the response coherent with the context?
A score of 1 response is completely inappropriate for context. 
A score of 2 means The response still does not match the context, but at least there are some related or similar topics.
A score of 3 means The response to some extent corresponds to the context, but the entire conversation appears to be fluid.
A score of 4 means the response is coherent with the context while not that perfect.
A score of 5 means the response is completely coherent with the context.
Evaluation Steps:
1. Read the Conversation, the Golden Response and the Response carefully.
2. Rate the Response on a scale of 1-5 for coherence, according to the criteria above.
Provide a brief explanation for your rating, referring to specific aspects of the response and the conversation.
Example:\nConversation History:\nSpeaker A:Wow ! Your calligraphy is very beautiful . It was worth the wait !\nSpeaker B:Thank you . Today I'm writing a kind of poem called a Chinese couplet .\nGolden Response (for reference):\nWhat does it say ?\nResponse (to be evaluated):\noh , she keeps saying that . She never allows me to have them .\n\nEvaluation Form (scores ONLY):\n- Coherence:",2.2,"1 The response does not match the context of the conversation at all. It appears as if the individual responding did not comprehend the discussion about calligraphy and Chinese couplets.

"
"You will be given a conversation between two individuals. You will then be given one potential response for the next turn in the conversation. The response concerns an interesting fact, which will be provided as well.
Your task is to rate the responses on one metric. Please make sure you read and understand these instructions carefully. Please keep this document open while reviewing, and refer to it as needed.
Evaluation Crieteria:
Coherence:(1-5) Is the response coherent with the context?
A score of 1 response is completely inappropriate for context. 
A score of 2 means The response still does not match the context, but at least there are some related or similar topics.
A score of 3 means The response to some extent corresponds to the context, but the entire conversation appears to be fluid.
A score of 4 means the response is coherent with the context while not that perfect.
A score of 5 means the response is completely coherent with the context.
Evaluation Steps:
1. Read the Conversation, the Golden Response and the Response carefully.
2. Rate the Response on a scale of 1-5 for coherence, according to the criteria above.
Provide a brief explanation for your rating, referring to specific aspects of the response and the conversation.
Example:\nConversation History:\nSpeaker A:Anything wrong with it ?\nSpeaker B:Yes . When I spread it out back home , I found this hole .\nGolden Response (for reference):\nOh , how awful ! May I have a look at the invoice ?\nResponse (to be evaluated):\nYou're right . Let's ask her to give us one more week .\n\nEvaluation Form (scores ONLY):\n- Coherence:",2.7,"1 The response does not correlate with the conversation history at all, hence a score of 1. The conversation was about a hole found in an object, but the response suggests asking for an extra week, which is completely unrelated."
"You will be given a conversation between two individuals. You will then be given one potential response for the next turn in the conversation. The response concerns an interesting fact, which will be provided as well.
Your task is to rate the responses on one metric. Please make sure you read and understand these instructions carefully. Please keep this document open while reviewing, and refer to it as needed.
Evaluation Crieteria:
Coherence:(1-5) Is the response coherent with the context?
A score of 1 response is completely inappropriate for context. 
A score of 2 means The response still does not match the context, but at least there are some related or similar topics.
A score of 3 means The response to some extent corresponds to the context, but the entire conversation appears to be fluid.
A score of 4 means the response is coherent with the context while not that perfect.
A score of 5 means the response is completely coherent with the context.
Evaluation Steps:
1. Read the Conversation, the Golden Response and the Response carefully.
2. Rate the Response on a scale of 1-5 for coherence, according to the criteria above.
Provide a brief explanation for your rating, referring to specific aspects of the response and the conversation.
Example:\nConversation History:\nSpeaker A:The service did not help the situation .\nSpeaker B:Is this a restaurant that you want to come back to ?\nGolden Response (for reference):\nI am not interested in trying this restaurant again .\nResponse (to be evaluated):\nI went up there early this morning .\n\nEvaluation Form (scores ONLY):\n- Coherence:",2.2,"1 Explanation: The response is not related to the context of the conversation. The conversation is about a restaurant service, whereas the response talks about an unrelated event of going somewhere early in the morning."
"You will be given a conversation between two individuals. You will then be given one potential response for the next turn in the conversation. The response concerns an interesting fact, which will be provided as well.
Your task is to rate the responses on one metric. Please make sure you read and understand these instructions carefully. Please keep this document open while reviewing, and refer to it as needed.
Evaluation Crieteria:
Coherence:(1-5) Is the response coherent with the context?
A score of 1 response is completely inappropriate for context. 
A score of 2 means The response still does not match the context, but at least there are some related or similar topics.
A score of 3 means The response to some extent corresponds to the context, but the entire conversation appears to be fluid.
A score of 4 means the response is coherent with the context while not that perfect.
A score of 5 means the response is completely coherent with the context.
Evaluation Steps:
1. Read the Conversation, the Golden Response and the Response carefully.
2. Rate the Response on a scale of 1-5 for coherence, according to the criteria above.
Provide a brief explanation for your rating, referring to specific aspects of the response and the conversation.
Example:\nConversation History:\nSpeaker A:Well , there will be charity performance on Saturday night . And also , there will be a solo concert by an opera star on Sunday night .\nSpeaker B:It's a good thing that I have choices here . Can you tell me about the one on Saturday ?\nGolden Response (for reference):\nSure . It's to raise money for the homeless .\nResponse (to be evaluated):\nSure , it's spelled Office and then D - E - P - O - T . It ' s in the Yellow Pages .\n\nEvaluation Form (scores ONLY):\n- Coherence:",2.8,1 Explanation: The response is completely unrelated to the original conversation. The speaker B has asked for more information about the charity event on Saturday and the response discussed something about 'office depot' which is not coherent with the context.
"You will be given a conversation between two individuals. You will then be given one potential response for the next turn in the conversation. The response concerns an interesting fact, which will be provided as well.
Your task is to rate the responses on one metric. Please make sure you read and understand these instructions carefully. Please keep this document open while reviewing, and refer to it as needed.
Evaluation Crieteria:
Coherence:(1-5) Is the response coherent with the context?
A score of 1 response is completely inappropriate for context. 
A score of 2 means The response still does not match the context, but at least there are some related or similar topics.
A score of 3 means The response to some extent corresponds to the context, but the entire conversation appears to be fluid.
A score of 4 means the response is coherent with the context while not that perfect.
A score of 5 means the response is completely coherent with the context.
Evaluation Steps:
1. Read the Conversation, the Golden Response and the Response carefully.
2. Rate the Response on a scale of 1-5 for coherence, according to the criteria above.
Provide a brief explanation for your rating, referring to specific aspects of the response and the conversation.
Example:\nConversation History:\nSpeaker A:What do you think about the equipment in our company ?\nSpeaker B:We have to equip our company with a network of work stations at every office and show room as soon as possible .\nGolden Response (for reference):\nI also realized this issue . And office automation is essential .\nResponse (to be evaluated):\nHow do you ensure quality ?\n\nEvaluation Form (scores ONLY):\n- Coherence:",3.9,"1 The response does not align with the context at all. The conversation was about the equipment in the company and improving it with networking. The response deviates towards quality assurance in general, without specifying to what the quality assurance pertains."
"You will be given a conversation between two individuals. You will then be given one potential response for the next turn in the conversation. The response concerns an interesting fact, which will be provided as well.
Your task is to rate the responses on one metric. Please make sure you read and understand these instructions carefully. Please keep this document open while reviewing, and refer to it as needed.
Evaluation Crieteria:
Coherence:(1-5) Is the response coherent with the context?
A score of 1 response is completely inappropriate for context. 
A score of 2 means The response still does not match the context, but at least there are some related or similar topics.
A score of 3 means The response to some extent corresponds to the context, but the entire conversation appears to be fluid.
A score of 4 means the response is coherent with the context while not that perfect.
A score of 5 means the response is completely coherent with the context.
Evaluation Steps:
1. Read the Conversation, the Golden Response and the Response carefully.
2. Rate the Response on a scale of 1-5 for coherence, according to the criteria above.
Provide a brief explanation for your rating, referring to specific aspects of the response and the conversation.
Example:\nConversation History:\nSpeaker A:I shouted it back of course .\nSpeaker B:Hold it , Mike . You won't accomplish anything by hollering at him , right ? You worked it all up till now . Why not wait until you cool down a bit ?\nGolden Response (for reference):\nWhat would you do if you were in my shoes ?\nResponse (to be evaluated):\nwell , I wish someone could talk to me about Western table manners\n\nEvaluation Form (scores ONLY):\n- Coherence:",2.7,"1 The response is not coherent with the context at all. The conversation is about a conflict and how to handle it, while the response talks about wanting to learn about Western table manners, which is completely unrelated."
"You will be given a conversation between two individuals. You will then be given one potential response for the next turn in the conversation. The response concerns an interesting fact, which will be provided as well.
Your task is to rate the responses on one metric. Please make sure you read and understand these instructions carefully. Please keep this document open while reviewing, and refer to it as needed.
Evaluation Crieteria:
Coherence:(1-5) Is the response coherent with the context?
A score of 1 response is completely inappropriate for context. 
A score of 2 means The response still does not match the context, but at least there are some related or similar topics.
A score of 3 means The response to some extent corresponds to the context, but the entire conversation appears to be fluid.
A score of 4 means the response is coherent with the context while not that perfect.
A score of 5 means the response is completely coherent with the context.
Evaluation Steps:
1. Read the Conversation, the Golden Response and the Response carefully.
2. Rate the Response on a scale of 1-5 for coherence, according to the criteria above.
Provide a brief explanation for your rating, referring to specific aspects of the response and the conversation.
Example:\nConversation History:\nSpeaker A:What did they say ?\nSpeaker B:They said I need a new hard drive .\nGolden Response (for reference):\nThat's too bad . How much is a new one ?\nResponse (to be evaluated):\nThey're still fighting hard . Let ' s wait and see .\n\nEvaluation Form (scores ONLY):\n- Coherence:",2.3,"1 Explanation: The response given is completely out of context. The initial conversation is about hard drives, and the response discusses a fight of some sort, which has nothing to do with the subject at hand."
"You will be given a conversation between two individuals. You will then be given one potential response for the next turn in the conversation. The response concerns an interesting fact, which will be provided as well.
Your task is to rate the responses on one metric. Please make sure you read and understand these instructions carefully. Please keep this document open while reviewing, and refer to it as needed.
Evaluation Crieteria:
Coherence:(1-5) Is the response coherent with the context?
A score of 1 response is completely inappropriate for context. 
A score of 2 means The response still does not match the context, but at least there are some related or similar topics.
A score of 3 means The response to some extent corresponds to the context, but the entire conversation appears to be fluid.
A score of 4 means the response is coherent with the context while not that perfect.
A score of 5 means the response is completely coherent with the context.
Evaluation Steps:
1. Read the Conversation, the Golden Response and the Response carefully.
2. Rate the Response on a scale of 1-5 for coherence, according to the criteria above.
Provide a brief explanation for your rating, referring to specific aspects of the response and the conversation.
Example:\nConversation History:\nSpeaker A:That is right up my alley . You say party and I'm there .\nSpeaker B:Perfect . It will be open to the public and we anticipate roughly about five to seven hundred people .\nGolden Response (for reference):\nWill it be an all day event ?\nResponse (to be evaluated):\nNot until the 31st . So can you change the church reservations ?\n\nEvaluation Form (scores ONLY):\n- Coherence:",2.8,"1 The response is completely inappropriate for the context. It mentions changing church reservations, which have nothing to do with the ongoing conversation about a party."
"You will be given a conversation between two individuals. You will then be given one potential response for the next turn in the conversation. The response concerns an interesting fact, which will be provided as well.
Your task is to rate the responses on one metric. Please make sure you read and understand these instructions carefully. Please keep this document open while reviewing, and refer to it as needed.
Evaluation Crieteria:
Coherence:(1-5) Is the response coherent with the context?
A score of 1 response is completely inappropriate for context. 
A score of 2 means The response still does not match the context, but at least there are some related or similar topics.
A score of 3 means The response to some extent corresponds to the context, but the entire conversation appears to be fluid.
A score of 4 means the response is coherent with the context while not that perfect.
A score of 5 means the response is completely coherent with the context.
Evaluation Steps:
1. Read the Conversation, the Golden Response and the Response carefully.
2. Rate the Response on a scale of 1-5 for coherence, according to the criteria above.
Provide a brief explanation for your rating, referring to specific aspects of the response and the conversation.
Example:\nConversation History:\nSpeaker A:I can check that for you right now . Would you mind holding ?\nSpeaker B:Sure . No problem .\nGolden Response (for reference):\nMr . Robson , I'm sorry . Our computer system is down . Could I call you back later ?\nResponse (to be evaluated):\nIs this a promise ?\n\nEvaluation Form (scores ONLY):\n- Coherence:",3,"1 The response ""Is this a promise?"" doesn't align with the previous conversation at all. Speaker A and B are talking about holding for some information to be checked. The speaker is not making a promise, but asking for the opportunity to obtain some information. There is no coherency in the response."
"You will be given a conversation between two individuals. You will then be given one potential response for the next turn in the conversation. The response concerns an interesting fact, which will be provided as well.
Your task is to rate the responses on one metric. Please make sure you read and understand these instructions carefully. Please keep this document open while reviewing, and refer to it as needed.
Evaluation Crieteria:
Coherence:(1-5) Is the response coherent with the context?
A score of 1 response is completely inappropriate for context. 
A score of 2 means The response still does not match the context, but at least there are some related or similar topics.
A score of 3 means The response to some extent corresponds to the context, but the entire conversation appears to be fluid.
A score of 4 means the response is coherent with the context while not that perfect.
A score of 5 means the response is completely coherent with the context.
Evaluation Steps:
1. Read the Conversation, the Golden Response and the Response carefully.
2. Rate the Response on a scale of 1-5 for coherence, according to the criteria above.
Provide a brief explanation for your rating, referring to specific aspects of the response and the conversation.
Example:\nConversation History:\nSpeaker A:Oh , your precious game . You watch the same game every year , and each year your beloved hometown team loses by at least three goals !\nSpeaker B:Oh no you didn't . You didn't just insult the Sals-bury Seals , did you ? Why don't you just . just go and return all of those stupid clothes and not come back until the sales are over ?\nGolden Response (for reference):\nI might just ! Enjoy your stupid game !\nResponse (to be evaluated):\nOh , your precious game . You watch the same game every year , and each year your beloved hometown team loses by at least three goals !\n\nEvaluation Form (scores ONLY):\n- Coherence:",2.6,"1

Explanation: The response is a repetition of Speaker A's initial lines in the conversation. It does not address or respond to Speaker B's previous statement at all. Thus, it can be concluded that the response is incoherent with the context."
"You will be given a conversation between two individuals. You will then be given one potential response for the next turn in the conversation. The response concerns an interesting fact, which will be provided as well.
Your task is to rate the responses on one metric. Please make sure you read and understand these instructions carefully. Please keep this document open while reviewing, and refer to it as needed.
Evaluation Crieteria:
Coherence:(1-5) Is the response coherent with the context?
A score of 1 response is completely inappropriate for context. 
A score of 2 means The response still does not match the context, but at least there are some related or similar topics.
A score of 3 means The response to some extent corresponds to the context, but the entire conversation appears to be fluid.
A score of 4 means the response is coherent with the context while not that perfect.
A score of 5 means the response is completely coherent with the context.
Evaluation Steps:
1. Read the Conversation, the Golden Response and the Response carefully.
2. Rate the Response on a scale of 1-5 for coherence, according to the criteria above.
Provide a brief explanation for your rating, referring to specific aspects of the response and the conversation.
Example:\nConversation History:\nSpeaker A:I wasn't all that impressed by the food .\nSpeaker B:The service certainly could have been better .\nGolden Response (for reference):\nThe service did not help the situation .\nResponse (to be evaluated):\nIt wasn't as good as you think .\n\nEvaluation Form (scores ONLY):\n- Coherence:",2.8,"3\n\nExplanation:\nThe response to some extent corresponds to the context, as both speakers are discussing their dissatisfaction with the food and service at a given location. However, the response phrase ""It wasn't as good as you think"", although somewhat relevant, appears seemingly out of context through assuming what Speaker A thought without clear indications from him in the previous conversation."
"You will be given a conversation between two individuals. You will then be given one potential response for the next turn in the conversation. The response concerns an interesting fact, which will be provided as well.
Your task is to rate the responses on one metric. Please make sure you read and understand these instructions carefully. Please keep this document open while reviewing, and refer to it as needed.
Evaluation Crieteria:
Coherence:(1-5) Is the response coherent with the context?
A score of 1 response is completely inappropriate for context. 
A score of 2 means The response still does not match the context, but at least there are some related or similar topics.
A score of 3 means The response to some extent corresponds to the context, but the entire conversation appears to be fluid.
A score of 4 means the response is coherent with the context while not that perfect.
A score of 5 means the response is completely coherent with the context.
Evaluation Steps:
1. Read the Conversation, the Golden Response and the Response carefully.
2. Rate the Response on a scale of 1-5 for coherence, according to the criteria above.
Provide a brief explanation for your rating, referring to specific aspects of the response and the conversation.
Example:\nConversation History:\nSpeaker A:Me ? No way , keep him away from me , please .\nSpeaker B:Why are you acting so strange today ?\nGolden Response (for reference):\nI've said that I've got a problem with the circus . I'm not kidding .\nResponse (to be evaluated):\nI just had a quarrel with him .\n\nEvaluation Form (scores ONLY):\n- Coherence:",3.6,"2\nExplanation: The response has some relevance in the context as Speaker A is expressing a strong negative reaction towards someone or something. However, it's not fully coherent because the exact reason for Speaker A's behaviour is not mentioned in the previous conversation and ""a quarrel"" seems to lead to another direction. The golden response provides an explanation related to 'circus', which is not hinted in the evaluated response."
"You will be given a conversation between two individuals. You will then be given one potential response for the next turn in the conversation. The response concerns an interesting fact, which will be provided as well.
Your task is to rate the responses on one metric. Please make sure you read and understand these instructions carefully. Please keep this document open while reviewing, and refer to it as needed.
Evaluation Crieteria:
Coherence:(1-5) Is the response coherent with the context?
A score of 1 response is completely inappropriate for context. 
A score of 2 means The response still does not match the context, but at least there are some related or similar topics.
A score of 3 means The response to some extent corresponds to the context, but the entire conversation appears to be fluid.
A score of 4 means the response is coherent with the context while not that perfect.
A score of 5 means the response is completely coherent with the context.
Evaluation Steps:
1. Read the Conversation, the Golden Response and the Response carefully.
2. Rate the Response on a scale of 1-5 for coherence, according to the criteria above.
Provide a brief explanation for your rating, referring to specific aspects of the response and the conversation.
Example:\nConversation History:\nSpeaker A:Did you lend him a lot of money ?\nSpeaker B:Not much . I had to pay an unexpected bill , so I needed the money back .\nGolden Response (for reference):\nWell , talk to him about it next time you see him . He probably feels as bad about it as you do . Close friends sometimes have disagreements . It's nothing unusual . Neither of you said anything really nasty , did you ?\nResponse (to be evaluated):\nnot much . I had to pay an unexpected bill , so I needed the money back .\n\nEvaluation Form (scores ONLY):\n- Coherence:",3.1,"1 Explanation: The response is the same as what Speaker B had previously said, not adding any new parts to the conversation. There is no coherence since there is no progression or context building from the response to the conversation."
